Census year,CLUE small area,Trading name,Industry (ANZSIC4) description,Seating type,Number of seats,Longitude,Latitude
2022,Melbourne (CBD),Funghi e Tartufo,Cafes and Restaurants,Seats - Outdoor,16,144.961215,-37.81328957
2022,Melbourne (CBD),Kirk's Public Bar,"Pubs, Taverns and Bars",Seats - Indoor,48,144.9613281,-37.81354352
2022,Melbourne (CBD),Little Sparrow Emporium,Takeaway Food Services,Seats - Indoor,32,144.9639289,-37.81247035
2022,Melbourne (CBD),Dumplings Plus,Cafes and Restaurants,Seats - Indoor,115,144.9645731,-37.81195428
2022,Melbourne (CBD),The Crane,Cafes and Restaurants,Seats - Indoor,80,144.9662784,-37.81203226
2022,Melbourne (CBD),Supagrind,Cafes and Restaurants,Seats - Indoor,35,144.9704817,-37.8104747
2022,Melbourne (CBD),Paik’s Bibim,Cafes and Restaurants,Seats - Indoor,20,144.9526854,-37.81445228
2022,Melbourne (CBD),White Mojo,Cafes and Restaurants,Seats - Outdoor,14,144.9603937,-37.81210713
2022,Melbourne (CBD),Pretty Boy Italian Steak House,Cafes and Restaurants,Seats - Indoor,168,144.9601361,-37.81204552
2022,Melbourne (CBD),Schnitz,Cafes and Restaurants,Seats - Outdoor,76,144.9657251,-37.81067862
2022,Melbourne (CBD),Mumuyo QV,Takeaway Food Services,Seats - Indoor,5,144.9657251,-37.81067862
2022,Melbourne (CBD),Hakata Gensuke QV,Cafes and Restaurants,Seats - Indoor,32,144.9657251,-37.81067862
2022,Melbourne (CBD),Sulbing Dessert Bar,Cafes and Restaurants,Seats - Indoor,35,144.9673695,-37.81056736
2022,Melbourne (CBD),Bros Sushi,Takeaway Food Services,Seats - Indoor,12,144.9699756,-37.80941503
2022,Melbourne (CBD),Bluebag,Cafes and Restaurants,Seats - Outdoor,6,144.970729,-37.80919615
2022,Melbourne (CBD),Poked,Takeaway Food Services,Seats - Outdoor,8,144.970729,-37.80919615
2022,Melbourne (CBD),Hwajoo,Cafes and Restaurants,Seats - Indoor,40,144.955573,-37.81290462
2022,Melbourne (CBD),The Mint Bar & Restaurant,Cafes and Restaurants,Seats - Outdoor,90,144.9573593,-37.81209006
2022,Melbourne (CBD),Billy's Central,Cafes and Restaurants,Seats - Indoor,36,144.9628389,-37.81090175
2022,Melbourne (CBD),Diesel Bar,"Pubs, Taverns and Bars",Seats - Indoor,200,144.9628389,-37.81090175
2022,Melbourne (CBD),Frozen by a Thousand Blessings,Cafes and Restaurants,Seats - Indoor,8,144.9628389,-37.81090175
2022,Melbourne (CBD),Mad Mex,Cafes and Restaurants,Seats - Indoor,25,144.9628389,-37.81090175
2022,Melbourne (CBD),Rustica,Cafes and Restaurants,Seats - Indoor,50,144.9628389,-37.81090175
2022,Melbourne (CBD),David's Master Pot Swanston,Mens Clothing Retailing,Seats - Outdoor,8,144.9641926,-37.81107779
2022,Melbourne (CBD),Little Rogue,Takeaway Food Services,Seats - Indoor,14,144.9641467,-37.81096826
2022,Melbourne (CBD),65 Degrees Cafe,Cafes and Restaurants,Seats - Indoor,22,144.9687256,-37.80874116
2022,West Melbourne (Residential),City Of Melbourne Bowls Club Inc,"Sports and Physical Recreation Venues, Grounds and Facilities Operation",Seats - Indoor,110,144.9544197,-37.81049114
2022,North Melbourne,9 FaceThai Cuisine,Takeaway Food Services,Seats - Indoor,10,144.9466998,-37.79823079
2022,North Melbourne,Twenty & Six Espresso,Cafes and Restaurants,Seats - Indoor,17,144.9475396,-37.80257098
2022,North Melbourne,Twenty & Six Espresso,Cafes and Restaurants,Seats - Outdoor,20,144.9475396,-37.80257098
2022,North Melbourne,Get On The Coffees,Takeaway Food Services,Seats - Indoor,16,144.9474385,-37.80457511
2022,North Melbourne,Townhall Hotel North Melbourne,"Pubs, Taverns and Bars",Seats - Indoor,56,144.9487945,-37.80412704
2022,North Melbourne,Code Black Howard Street,Cafes and Restaurants,Seats - Indoor,70,144.9536736,-37.80422545
2022,North Melbourne,Ample Cafe Bar,Cafes and Restaurants,Seats - Outdoor,12,144.9536963,-37.80409743
